"ciputBE","ciputAccount","ciputCntrPrtNum","ciputCntrPrtName","ciputCAC","ciputAgentNum","ciputAgentName","ciputCnName","ciputLink","ciputCnInv","ciputEntryDate","ciputDocDate","ciputDueDate","ciputDbtBlns","ciputDbtBlnsOverd","ciputDbtBlnsOverdNot","ciputCdtBlns","ciputCdtBlnsOverd","ciputCdtBlnsOverdNot","ciputBlns","ciputCnInvDocCode","ciputAlligmentDate","ciputBaseDate","ciputCnInvDocSum","ciputStornoReason","ciputStornoDocCode","ciputSheetNum","ciputUnloadKey"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031513","31.12.2024","31.12.2024","851699,69",,,"3130","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031452","31.12.2024","31.12.2024","148970,08",,,"3131","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644259","31.12.2024","31.12.2024","38713,62",,,"3132","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031462","31.12.2024","31.12.2024","38713,62",,,"3133","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644261","31.12.2024","31.12.2024","163936",,,"3134","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031463","31.12.2024","31.12.2024","163936",,,"3135","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644639","31.12.2024","31.12.2024","1837355,56",,,"3136","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031480","31.12.2024","31.12.2024","1837355,56",,,"3137","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800029901","31.12.2024","31.12.2024","2140321,12",,,"3068","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","5144","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800596624","31.12.2024","31.12.2024","818784,48",,,"3069","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800030045","31.12.2024","31.12.2024","818784,48",,,"3070","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","5144","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800597072","31.12.2024","31.12.2024","4736658,62",,,"3071","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800030055","31.12.2024","31.12.2024","4736658,62",,,"3072","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644602","31.12.2024","31.12.2024","72630,27",,,"3073","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","5800031468","31.12.2024","31.12.2024","72630,27",,,"3074","32"
"0001","606012","1000139","ГАЗПРОМ ПРОЕКТИРОВАНИЕ","051-1006452","1009345","ГАЗПРОМ ИНВЕСТ","1","А57","5144","31.12.2024","31.12.2024","31.12.2024","0","0","0","0","0","0","0","8800644610","31.12.2024","31.12.2024","779024,96",,,"3075","32"
